ID Year,Year,ID Workforce Status,Workforce Status,Record Count,Average Wage,Average Wage Appx MOE,Total Population,Total Population MOE Appx,PUMS Occupation,ID PUMS Occupation,Slug PUMS Occupation,PUMS Industry,ID PUMS Industry,Slug PUMS Industry,Sex,ID Sex
2017,"2017","true","true",104,45196.56655290102,12984.618271802521,2051,1111.8711990235136,"Inspectors, testers, sorters, samplers, & weighers","519061","inspectors-testers-sorters-samplers-weighers","Aerospace products & parts manufacturing","33641M2","aerospace-products-parts-manufacturing","Female",2
2020,"2020","true","true",100,57465.42544818539,14357.992159939467,2287,1174.0983847420594,"Inspectors, testers, sorters, samplers, & weighers","519061","inspectors-testers-sorters-samplers-weighers","Aerospace products & parts manufacturing","33641M2","aerospace-products-parts-manufacturing","Male",1
2019,"2019","true","true",117,58473.892568659125,13543.018831831432,2476,1221.6489691144932,"Inspectors, testers, sorters, samplers, & weighers","519061","inspectors-testers-sorters-samplers-weighers","Aerospace products & parts manufacturing","33641M2","aerospace-products-parts-manufacturing","Male",1
2016,"2016","true","true",134,44177.64061358656,10917.402184660847,2738,1284.6572081651884,"Inspectors, testers, sorters, samplers, & weighers","519061","inspectors-testers-sorters-samplers-weighers","Aerospace products & parts manufacturing","33641M2","aerospace-products-parts-manufacturing","Female",2
2015,"2015","true","true",154,43848.36369747899,10370.896985339728,2975,1339.1017617220675,"Inspectors, testers, sorters, samplers, & weighers","519061","inspectors-testers-sorters-samplers-weighers","Aerospace products & parts manufacturing","33641M2","aerospace-products-parts-manufacturing","Female",2
2014,"2014","true","true",183,44602.450218978105,10236.152357259929,3425,1436.8108171260888,"Inspectors, testers, sorters, samplers, & weighers","519061","inspectors-testers-sorters-samplers-weighers","Aerospace products & parts manufacturing","33641M2","aerospace-products-parts-manufacturing","Female",2
2018,"2018","true","true",176,58844.01304347826,11028.757614925355,3450,1442.046124549458,"Inspectors, testers, sorters, samplers, & weighers","519061","inspectors-testers-sorters-samplers-weighers","Aerospace products & parts manufacturing","33641M2","aerospace-products-parts-manufacturing","Male",1
2017,"2017","true","true",255,59205.6904296875,9076.842240621798,5120,1756.7177129135082,"Inspectors, testers, sorters, samplers, & weighers","519061","inspectors-testers-sorters-samplers-weighers","Aerospace products & parts manufacturing","33641M2","aerospace-products-parts-manufacturing","Male",1
2016,"2016","true","true",363,56572.721559694495,6809.221703975308,7463,2120.8989151359015,"Inspectors, testers, sorters, samplers, & weighers","519061","inspectors-testers-sorters-samplers-weighers","Aerospace products & parts manufacturing","33641M2","aerospace-products-parts-manufacturing","Male",1
2015,"2015","true","true",448,57047.602991820924,6264.674743347067,9292,2366.545162876392,"Inspectors, testers, sorters, samplers, & weighers","519061","inspectors-testers-sorters-samplers-weighers","Aerospace products & parts manufacturing","33641M2","aerospace-products-parts-manufacturing","Male",1
2014,"2014","true","true",507,58076.15591606761,6045.2785921564255,10294,2490.86641568246,"Inspectors, testers, sorters, samplers, & weighers","519061","inspectors-testers-sorters-samplers-weighers","Aerospace products & parts manufacturing","33641M2","aerospace-products-parts-manufacturing","Male",1
2020,"2020","true","true",58,46989.98601398602,22250.205531771415,858,719.146126592663,"Other assemblers and fabricators","5120XX","other-assemblers-and-fabricators","Aerospace products & parts manufacturing","33641M2","aerospace-products-parts-manufacturing","Female",2
2019,"2019","true","true",75,44793.41705069124,15790.113185318158,1302,885.8870099698477,"Other assemblers and fabricators","5120XX","other-assemblers-and-fabricators","Aerospace products & parts manufacturing","33641M2","aerospace-products-parts-manufacturing","Female",2
2018,"2018","true","true",92,38810.98197706172,12452.397269327044,1831,1050.5487133842946,"Other assemblers and fabricators","5120XX","other-assemblers-and-fabricators","Aerospace products & parts manufacturing","33641M2","aerospace-products-parts-manufacturing","Female",2
2019,"2019","true","true",102,47797.255561303675,13406.202300121733,1933,1079.4134847883868,"Other assemblers and fabricators","5120XX","other-assemblers-and-fabricators","Aerospace products & parts manufacturing","33641M2","aerospace-products-parts-manufacturing","Male",1
2020,"2020","true","true",97,48826.856468366386,12093.48545775841,2118,1129.8860162440862,"Other assemblers and fabricators","5120XX","other-assemblers-and-fabricators","Aerospace products & parts manufacturing","33641M2","aerospace-products-parts-manufacturing","Male",1
2018,"2018","true","true",161,46578.33662754787,10022.301703677856,3238,1397.0383984926993,"Other assemblers and fabricators","5120XX","other-assemblers-and-fabricators","Aerospace products & parts manufacturing","33641M2","aerospace-products-parts-manufacturing","Male",1
